City,Date,Duration (Hours),Cause,Affected Area,Number of Customers Affected,Restoration Time,Comments,Quick_Response,Scaled Duration (Hours),Scaled Number of Customers Affected
Harer,2017-01-15,4.2,Maintenance,Line1,141,1/15/2017 4:12,,0,-0.7116926369094347,-1.1901558543332103
Hawassa,2021-10-31,7.73,Maintenance,Hawassa Main,347,10/31/2021 7:43,,0,0.3977962777778271,-0.47715122495902346
Harer,2021-03-09,2.53,Maintenance,Line1,125,3/9/2021 2:32,QR,1,-1.2365783274272044,-1.245534854672953
Bahir Dar,2019-01-16,4.21,Maintenance,Bahir Dar East,520,1/16/2019 4:12,,0,-0.708549608822502,0.12163421621444413
Mojo,2017-12-07,5.03,Equipment Failure,Mojo Industrial,271,12/7/2017 5:01,,0,-0.4508213056940162,-0.7402014765728011
Bahir Dar,2022-09-28,6.02,Maintenance,Bahir Dar East,454,9/28/2022 6:01,,0,-0.13966152508767388,-0.10680416018699436
Dire Dawa,2019-01-08,9.64,Maintenance,F3,355,1/8/2019 9:38,,0,0.9981146423819829,-0.4494617247891521
Bahir Dar,2017-07-23,3.2,Maintenance,Bahir Dar East,646,7/23/2017 3:11,,0,-1.02599544560271,0.5577438438899176
Mojo,2017-07-31,6.66,Maintenance,Mojo Central,137,7/31/2017 6:39,,0,0.061492272476022465,-1.204000604418146
Bahir Dar,2022-01-31,7.52,Equipment Failure,Bahir Dar West,466,1/31/2022 7:30,,0,0.33179268795223904,-0.06526990993218737
Addis Ababa,2020-08-15,1.51,Maintenance,Nifas Silk,1141,8/15/2020 1:30,QR,1,-1.5571671922943453,2.2710316669007065
Dire Dawa,2021-11-03,7.68,Maintenance,F3,508,11/3/2021 7:40,,0,0.3820811373431631,0.08009996595963713
Dire Dawa,2021-05-18,2.88,Equipment Failure,F4,427,5/18/2021 2:52,QR,1,-1.126572344384558,-0.20025622326031012
Hawassa,2020-03-20,1.72,Equipment Failure,Hawassa Main,693,3/20/2020 1:42,QR,1,-1.4911636024687576,0.7204196573879117
Addis Ababa,2022-11-02,11.44,Maintenance,Gelan,1132,11/2/2022 11:26,,0,1.563859698029878,2.2398809792096013
Mojo,2019-04-09,11.62,Accident,Mojo Industrial,126,4/9/2019 11:37,,0,1.6204342035946675,-1.242073667151719
Mojo,2020-04-23,9.89,Accident,Mojo Central,217,4/23/2020 9:53,,0,1.0766903445553018,-0.9271056027194325
Hawassa,2021-12-22,4.35,Maintenance,Hawassa South,690,12/22/2021 4:21,,0,-0.6645472156054436,0.7100360948242099
Bahir Dar,2020-09-16,2.07,Maintenance,Bahir Dar East,329,9/16/2020 2:04,QR,1,-1.381157619426111,-0.539452600341234
Hawassa,2022-03-03,8.53,Maintenance,Hawassa South,527,3/3/2022 8:31,,0,0.6492385247324469,0.14586252886308154
Mojo,2020-06-18,5.84,Accident,Mojo Central,116,6/18/2020 5:50,,0,-0.19623603065246334,-1.2766855423640582
Harer,2021-03-24,2.34,Maintenance,Line 2,233,3/24/2021 2:20,QR,1,-1.2962958610789268,-0.8717266023796899
Mojo,2017-04-11,6.45,Maintenance,Mojo Central,269,4/11/2017 6:26,,0,-0.004511317349565331,-0.747123851615269
Harer,2018-05-15,1.38,Equipment Failure,Fedis,201,5/15/2018 1:22,QR,1,-1.598026557424471,-0.9824846030591753
Addis Ababa,2018-09-26,11.0,Maintenance,Addis East1,1042,9/26/2018 11:00,,0,1.4255664622048372,1.9283741022985488
Harer,2017-06-24,3.85,Equipment Failure,Line 2,108,6/24/2017 3:50,,0,-0.821698619952081,-1.3043750425339296
Dire Dawa,2018-05-25,8.29,Maintenance,F3,657,5/25/2018 8:17,,0,0.5738058506460608,0.5958169066234907
Addis Ababa,2017-08-10,4.43,Maintenance,Kality North,846,8/10/2017 4:25,,0,-0.6394029909099815,1.249981348136701
Harer,2018-09-01,6.72,Maintenance,Harer No 3,243,9/1/2018 6:43,,0,0.08035044099761886,-0.8371147271673508
Bahir Dar,2020-10-24,7.01,Maintenance,Bahir Dar West,451,10/24/2020 7:00,,0,0.1714982555186687,-0.11718772275069611
Harer,2019-03-10,3.03,Maintenance,Bedesa,174,3/10/2019 3:02,,0,-1.0794269230805669,-1.075936666132491
Addis Ababa,2019-03-22,11.67,Equipment Failure,Addis East1,806,3/22/2019 11:39,,0,1.6361493440293315,1.1115338472873444
Bahir Dar,2018-04-04,9.53,Equipment Failure,Bahir Dar East,686,4/4/2018 9:31,,0,0.9635413334257222,0.6961913447392742
Mojo,2018-08-08,11.33,Maintenance,Mojo Industrial,188,8/8/2018 11:20,,0,1.529286389073618,-1.0274800408352163
Dire Dawa,2022-08-14,10.84,Maintenance,F5,515,8/14/2022 10:50,,0,1.375278012813913,0.10432827860827455
Harer,2020-11-20,7.58,Maintenance,Harer Water,102,11/20/2020 7:34,,0,0.3506508564738357,-1.325142167661333
Hawassa,2020-08-26,11.14,Accident,Hawassa South,586,8/26/2020 11:08,,0,1.4695688554218957,0.35007259261588264
Hawassa,2018-01-10,1.97,Equipment Failure,Hawassa Main,374,1/10/2018 1:58,QR,1,-1.4125879002954387,-0.3836991618857077
Bahir Dar,2021-05-16,3.16,Equipment Failure,Bahir Dar West,476,5/16/2021 3:09,,0,-1.038567557950441,-0.0306580347198482
Harer,2017-12-24,1.5,Accident,Line1,154,12/24/2017 1:29,QR,1,-1.560310220381278,-1.1451604165571694
Hawassa,2019-04-12,4.58,Equipment Failure,Hawassa South,533,4/12/2019 4:34,,0,-0.5922575696059901,0.16662965399048504
Addis Ababa,2022-12-08,5.28,Equipment Failure,Average interruption per year/line    ,1155,12/8/2022 5:16,,0,-0.37224560352069735,2.3194882921979816
Dire Dawa,2020-11-02,3.98,Equipment Failure,Dire Dawa Substation 1,514,11/2/2020 3:59,,0,-0.7808392548219553,0.10086709108704063
Dire Dawa,2020-05-04,10.12,Equipment Failure,F1,580,5/4/2020 10:06,,0,1.1489799905547546,0.3293054674884791
Hawassa,2021-02-08,4.92,Maintenance,Hawassa South,660,2/8/2021 4:55,,0,-0.48539461465027656,0.6062004691871925
Bahir Dar,2022-01-20,4.09,Accident,Bahir Dar East,636,1/20/2022 4:05,,0,-0.7462659458656951,0.5231319686775785
Addis Ababa,2021-08-27,6.97,Maintenance,Kality North,890,8/27/2021 6:58,,0,0.15892614317093767,1.4022735990709934
Harer,2018-05-17,2.55,Equipment Failure,Line 4,276,5/17/2018 2:33,QR,1,-1.230292271253339,-0.7228955389666315
Bahir Dar,2017-03-12,9.82,Equipment Failure,Bahir Dar East,686,3/12/2017 9:49,,0,1.0546891479467724,0.6961913447392742
Harer,2018-11-22,1.82,Equipment Failure,TL,278,11/22/2018 1:49,QR,1,-1.4597333215994297,-0.7159731639241637
Hawassa,2018-08-10,11.86,Maintenance,Hawassa South,342,8/10/2018 11:51,,0,1.6958668776810537,-0.494457162565193
Dire Dawa,2018-04-08,9.49,Maintenance,F4,352,4/8/2018 9:29,,0,0.9509692210779915,-0.45984528735285385
Dire Dawa,2022-08-27,3.19,Maintenance,F6,484,8/27/2022 3:11,,0,-1.0291384736896427,-0.0029685345499768654
Hawassa,2022-04-04,1.06,Equipment Failure,Hawassa South,657,4/4/2022 1:03,QR,1,-1.698603456206319,0.5958169066234907
Bahir Dar,2018-11-21,9.97,Maintenance,Bahir Dar East,685,11/21/2018 9:58,,0,1.1018345692507638,0.6927301572180403
Hawassa,2020-12-06,8.78,Maintenance,Hawassa South,512,12/6/2020 8:46,,0,0.7278142269057658,0.0939447160445728
Mojo,2019-05-17,9.02,Equipment Failure,Mojo Central,133,5/17/2019 9:01,,0,0.8032469009921519,-1.2178453545030816
Harer,2022-06-26,9.48,Maintenance,PT,204,6/26/2022 9:29,,0,0.9478261929910589,-0.9721010404954735
Dire Dawa,2019-10-02,1.81,Equipment Failure,F4,467,10/2/2019 1:48,QR,1,-1.4628763496863624,-0.06180872241095345
Bahir Dar,2018-08-04,4.94,Accident,Bahir Dar East,469,8/4/2018 4:56,,0,-0.47910855847641093,-0.05488634736848561
Addis Ababa,2018-06-25,2.27,Maintenance,Addis East1,1115,6/25/2018 2:16,QR,1,-1.3182970576874562,2.1810407913486247
Mojo,2020-05-14,10.49,Equipment Failure,Mojo Industrial,214,5/14/2020 10:29,,0,1.2652720297712667,-0.9374891652831343
Bahir Dar,2018-07-30,7.86,Maintenance,Bahir Dar East,588,7/30/2018 7:51,,0,0.43865564290795284,0.3569949676583505
Bahir Dar,2020-07-04,4.64,Equipment Failure,Bahir Dar East,253,7/4/2020 4:38,,0,-0.5733994010843937,-0.8025028519550116
Dire Dawa,2022-05-21,1.7,Maintenance,F3,571,5/21/2022 1:41,QR,1,-1.497449658642623,0.29815477979737387
Harer,2019-05-25,4.42,Maintenance,Line 2,169,5/25/2019 4:25,,0,-0.6425460189969142,-1.0932426037386607
Mojo,2018-04-26,4.58,Maintenance,Mojo Industrial,106,4/26/2018 4:34,,0,-0.5922575696059901,-1.3112974175763974
Addis Ababa,2022-12-25,9.03,Accident,Weregenu,873,12/25/2022 9:01,,0,0.8063899290790846,1.3434334112100166
Dire Dawa,2020-01-21,8.01,Maintenance,F4,305,1/21/2020 8:00,,0,0.48580106421194397,-0.6225211008508479
Dire Dawa,2017-07-19,10.76,Maintenance,Dire Dawa Substation 1,467,7/19/2017 10:45,,0,1.350133788118451,-0.06180872241095345
Addis Ababa,2017-04-14,6.19,Equipment Failure,Addis East1,1198,4/14/2017 6:11,,0,-0.08623004760981684,2.46831935561104
Harer,2017-08-29,2.32,Maintenance,Line 1,232,8/29/2017 2:18,QR,1,-1.3025819172527922,-0.8751877899009238
Mojo,2020-10-06,8.85,Equipment Failure,Mojo Industrial,273,10/6/2020 8:50,,0,0.7498154235142952,-0.7332791015303333
Bahir Dar,2021-10-01,9.37,Accident,Bahir Dar West,600,10/1/2021 9:22,,0,0.9132528840347981,0.3985292179131575
Harer,2019-07-14,7.17,Maintenance,Harer No 3,153,7/14/2019 7:10,,0,0.2217867049095928,-1.1486216040784032
Harer,2017-05-20,9.48,Equipment Failure,Line 4,184,5/20/2017 9:28,,0,0.9478261929910589,-1.041324790920152
Mojo,2019-04-16,6.43,Maintenance,Mojo Industrial,217,4/16/2019 6:25,,0,-0.010797373523430982,-0.9271056027194325
Hawassa,2022-12-22,6.75,Equipment Failure,Hawassa Main,621,12/22/2022 6:45,,0,0.08977952525841719,0.4712141558590697
Addis Ababa,2020-03-04,5.7,Accident,Addis West,1198,3/4/2020 5:42,,0,-0.2402384238695218,2.46831935561104
Bahir Dar,2022-10-28,1.28,Maintenance,Bahir Dar East,319,10/28/2022 1:16,QR,1,-1.6294568382937984,-0.5740644755535731
Addis Ababa,2022-03-01,2.19,Equipment Failure,Kality 1,878,3/1/2022 2:11,QR,1,-1.3434412823829183,1.3607393488161863
Bahir Dar,2017-01-26,1.35,Equipment Failure,Bahir Dar West,700,1/26/2017 1:20,QR,1,-1.6074556416852694,0.7446479700365491
Addis Ababa,2021-04-28,8.0,Maintenance,Addis Center,821,4/28/2021 8:00,,0,0.4826580361250113,1.163451660105853
Bahir Dar,2021-02-01,4.46,Maintenance,Bahir Dar East,513,2/1/2021 4:27,,0,-0.6299739066491832,0.09740590356580672
Bahir Dar,2020-03-21,6.59,Equipment Failure,Bahir Dar East,592,3/21/2020 6:35,,0,0.039491075867493106,0.3708397177432861
Hawassa,2018-08-08,10.98,Maintenance,Hawassa Main,523,8/8/2018 10:58,,0,1.4192804060309716,0.13201777877814588
Addis Ababa,2020-11-04,3.74,Equipment Failure,Bole Lemi,1104,11/4/2020 3:44,,0,-0.8562719289083413,2.1429677286150515
Bahir Dar,2017-09-02,5.51,Maintenance,Bahir Dar East,658,9/2/2017 5:30,,0,-0.2999559575212442,0.5992780941447247
Dire Dawa,2019-08-11,9.31,Maintenance,F3,648,8/11/2019 9:18,,0,0.894394715513202,0.5646662189323854
Dire Dawa,2019-09-21,3.52,Maintenance,F2,473,9/21/2019 3:31,,0,-0.9254185468208619,-0.041041597283549947
Hawassa,2022-09-20,1.85,Equipment Failure,Hawassa South,610,9/20/2022 1:50,QR,1,-1.4503042373386317,0.43314109312549665
Addis Ababa,2022-04-03,4.19,Equipment Failure,Addis East1,953,4/3/2022 4:11,,0,-0.7148356649963674,1.62032841290873
Bahir Dar,2018-07-31,2.77,Accident,Bahir Dar West,509,7/31/2018 2:46,QR,1,-1.1611456533408184,0.08356115348087105
Harer,2020-01-02,11.23,Maintenance,Bedesa,227,1/2/2020 11:13,,0,1.4978561082042905,-0.8924937275070934
Dire Dawa,2018-01-27,9.89,Equipment Failure,F2,606,1/27/2018 9:53,,0,1.0766903445553018,0.41929634304056096
Dire Dawa,2022-06-22,7.97,Accident,F4,359,6/22/2022 7:58,,0,0.47322895186421293,-0.43561697470421645
Addis Ababa,2022-03-22,10.59,Equipment Failure,Sebeta 2,967,3/22/2022 10:35,,0,1.2967023106405942,1.6687850382060048
Dire Dawa,2018-10-16,9.84,Equipment Failure,Dire Dawa Substation 1,652,10/16/2018 9:50,,0,1.0609752041206377,0.5785109690173211
Bahir Dar,2020-10-31,3.05,Equipment Failure,Bahir Dar West,490,10/31/2020 3:03,,0,-1.0731408669067013,0.017798590577426634
Addis Ababa,2020-08-26,10.82,Accident,Addis East1,854,8/26/2020 10:49,,0,1.3689919566400477,1.2776708483065722
Mojo,2017-12-01,6.93,Equipment Failure,Mojo Central,127,12/1/2017 6:55,,0,0.14635403082320667,-1.2386124796304852
Harer,2021-07-28,9.88,Maintenance,Line 1,102,7/28/2021 9:52,,0,1.073547316468369,-1.325142167661333
Bahir Dar,2020-03-27,10.86,Equipment Failure,Bahir Dar West,521,3/27/2020 10:51,,0,1.3815640689877784,0.12509540373567804
Mojo,2021-09-02,4.5,Maintenance,Mojo Industrial,193,9/2/2021 4:29,,0,-0.6174017943014521,-1.0101741032290465
Dire Dawa,2020-03-07,2.21,Maintenance,F5,358,3/7/2020 2:12,QR,1,-1.3371552262090525,-0.4390781622254504
Bahir Dar,2017-01-02,3.51,Accident,Bahir Dar East,277,1/2/2017 3:30,,0,-0.9285615749077948,-0.7194343514453976
Harer,2018-12-11,5.7,Maintenance,TL,150,12/11/2018 5:41,,0,-0.2402384238695218,-1.159005166642105
Harer,2017-02-12,10.0,Equipment Failure,Harer Water,145,2/12/2017 9:59,,0,1.1112636535115619,-1.1763111042482746
Hawassa,2022-07-28,10.47,Maintenance,Hawassa South,405,7/28/2022 10:28,,0,1.2589859735974014,-0.2764023487274563
Addis Ababa,2022-04-09,1.08,Equipment Failure,Gofa,1018,4/9/2022 1:04,QR,1,-1.6923174000324535,1.8453056017889349
Hawassa,2021-12-27,6.62,Equipment Failure,Hawassa South,634,12/27/2021 6:37,,0,0.048920160128291444,0.5162095936351107
Harer,2018-11-05,5.59,Equipment Failure,Line 3,101,11/5/2018 5:35,,0,-0.27481173282578214,-1.328603355182567
Dire Dawa,2017-05-07,3.44,Maintenance,Dire Dawa Substation 1,507,5/7/2017 3:26,,0,-0.950562771516324,0.07663877843840322
Mojo,2022-04-07,2.32,Equipment Failure,Mojo Industrial,239,4/7/2022 2:19,QR,1,-1.3025819172527922,-0.8509594772522864
Mojo,2022-09-05,4.71,Equipment Failure,Mojo Industrial,132,9/5/2022 4:42,,0,-0.5513982044758644,-1.2213065420243154
Harer,2017-07-07,11.37,Maintenance,Line 2,181,7/7/2017 11:22,,0,1.5418585014213486,-1.0517083534838536
Addis Ababa,2019-12-01,4.56,Equipment Failure,Legetafo,1006,12/1/2019 4:33,,0,-0.5985436257798558,1.8037713515341278
Hawassa,2017-06-01,6.71,Maintenance,Hawassa South,644,6/1/2017 6:42,,0,0.07720741291068617,0.5508214688474498
Bahir Dar,2021-07-24,8.73,Maintenance,Bahir Dar West,531,7/24/2021 8:43,,0,0.7120990864711023,0.15970727894801723
Dire Dawa,2021-08-05,5.0,Maintenance,F5,613,8/5/2021 4:59,,0,-0.46025038995481454,0.44352465568919835
Harer,2017-10-09,11.69,Maintenance,PT,178,10/9/2017 11:41,,0,1.642435400203197,-1.0620919160475553
Dire Dawa,2019-11-07,11.59,Equipment Failure,F1,374,11/7/2019 11:35,,0,1.6110051193338695,-0.3836991618857077
Addis Ababa,2020-04-19,3.77,Accident,Gofa,1200,4/19/2020 3:46,,0,-0.8468428446475431,2.4752417306535075
Addis Ababa,2018-08-04,6.47,Maintenance,Kality 1,1140,8/4/2018 6:28,,0,0.0017747388243000409,2.2675704793794726
Hawassa,2022-03-26,4.31,Maintenance,Hawassa South,673,3/26/2022 4:18,,0,-0.6771193279531745,0.6511959069632334
Hawassa,2019-07-16,4.13,Maintenance,Hawassa Main,421,7/16/2019 4:07,,0,-0.733693833517964,-0.22102334838771362
Bahir Dar,2018-04-09,1.41,Equipment Failure,Bahir Dar East,695,4/9/2018 1:24,QR,1,-1.5885974731636727,0.7273420324303795
Harer,2020-03-27,7.71,Maintenance,PT,219,3/27/2020 7:42,,0,0.39151022160396143,-0.9201832276769648
Bahir Dar,2021-05-18,6.53,Maintenance,Bahir Dar West,682,5/18/2021 6:31,,0,0.020632907345896713,0.6823465946543387
Addis Ababa,2018-03-17,1.57,Maintenance,Addis West,600,3/17/2018 1:33,QR,1,-1.5383090237727486,0.3985292179131575
Hawassa,2018-11-14,4.07,Maintenance,Hawassa Main,362,11/14/2018 4:03,,0,-0.7525520020395604,-0.4252334121405147
Dire Dawa,2022-12-20,10.99,Maintenance,F5 ,379,12/20/2022 10:59,,0,1.4224234341179045,-0.36639322427953813
Mojo,2020-11-24,3.64,Maintenance,Mojo Industrial,214,11/24/2020 3:38,,0,-0.8877022097776689,-0.9374891652831343
Addis Ababa,2019-08-18,2.59,Maintenance,Weregenu,818,8/18/2019 2:35,QR,1,-1.217720158905608,1.1530680975421512
Hawassa,2020-02-08,6.38,Equipment Failure,Hawassa South,573,2/8/2020 6:23,,0,-0.02651251395809469,0.3050771548398417
Bahir Dar,2017-09-22,11.84,Maintenance,Bahir Dar East,450,9/22/2017 11:50,,0,1.6895808215071884,-0.12064891027193003
Bahir Dar,2018-05-08,3.66,Accident,Bahir Dar East,357,5/8/2018 3:39,,0,-0.8814161536038033,-0.4425393497466843
Hawassa,2019-01-11,8.39,Accident,Hawassa South,448,1/11/2019 8:23,,0,0.6052361315153888,-0.12757128531439788
Harer,2020-07-12,9.38,Maintenance,Line 3,128,7/12/2020 9:22,,0,0.9163959121217314,-1.2351512921092511
Harer,2018-05-19,3.61,Equipment Failure,Harer No 3,239,5/19/2018 3:36,,0,-0.8971312940384671,-0.8509594772522864
Dire Dawa,2018-04-28,9.01,Equipment Failure,F4,574,4/28/2018 9:00,,0,0.8001038729052192,0.30853834236107563
Addis Ababa,2017-06-05,5.05,Maintenance,Kality 1,1188,6/5/2017 5:02,,0,-0.44453524952015083,2.4337074803987004
Harer,2020-10-14,7.96,Equipment Failure,Line 4,216,10/14/2020 7:57,,0,0.47008592377728026,-0.9305667902406665
Dire Dawa,2018-05-17,7.97,Equipment Failure,F2,565,5/17/2018 7:58,,0,0.47322895186421293,0.2773876546699704
Dire Dawa,2022-06-06,6.89,Maintenance,F6,450,6/6/2022 6:53,,0,0.13378191847547563,-0.12064891027193003
Bahir Dar,2022-02-26,1.99,Maintenance,Bahir Dar West,394,2/26/2022 1:59,QR,1,-1.406301844121573,-0.31447541146102936
Dire Dawa,2017-06-05,10.19,Accident,Dire Dawa Substation 1,683,6/5/2017 10:11,,0,1.170981187163284,0.6858077821755726
Harer,2018-06-06,4.53,Accident,PT,191,6/6/2018 4:31,,0,-0.6079727100406538,-1.0170964782715144
Harer,2021-01-05,3.05,Accident,Harer No 3,274,1/5/2021 3:03,,0,-1.0731408669067013,-0.7298179140090993
Addis Ababa,2018-04-15,1.45,Maintenance,Average interruption per year/line    ,1032,4/15/2018 1:26,QR,1,-1.5760253608159416,1.8937622270862096
Mojo,2017-10-17,7.5,Equipment Failure,Mojo Central,296,10/17/2017 7:29,,0,0.32550663177837363,-0.6536717885419532
Dire Dawa,2022-08-11,8.45,Maintenance,F6,376,8/11/2022 8:27,,0,0.624094300036985,-0.37677678684323984
Harer,2020-06-04,1.18,Maintenance,Line 4,203,6/4/2020 1:10,QR,1,-1.660887119163126,-0.9755622280167074
Mojo,2019-11-02,6.63,Equipment Failure,Mojo Industrial,201,11/2/2019 6:37,,0,0.05206318821522413,-0.9824846030591753
Bahir Dar,2021-09-15,3.49,Maintenance,Bahir Dar East,613,9/15/2021 3:29,,0,-0.9348476310816601,0.44352465568919835
Mojo,2021-11-04,8.1,Equipment Failure,Mojo Industrial,193,11/4/2021 8:05,,0,0.5140883169943387,-1.0101741032290465
Harer,2018-02-21,2.92,Maintenance,TL,209,2/21/2018 2:55,QR,1,-1.1140002320368272,-0.9547951028893039
Dire Dawa,2017-08-01,8.6,Maintenance,F5 ,495,8/1/2017 8:36,,0,0.6712397213409763,0.03510452818359622
Harer,2019-08-03,5.25,Maintenance,Harer No 3,277,8/3/2019 5:15,,0,-0.3816746877814957,-0.7194343514453976
Addis Ababa,2019-07-17,11.3,Equipment Failure,Kality 2,889,7/17/2019 11:18,,0,1.5198573048128199,1.3988124115497593
Hawassa,2019-10-20,2.51,Maintenance,Hawassa South,408,10/20/2019 2:30,QR,1,-1.24286438360107,-0.2660187861637545
Addis Ababa,2021-05-16,4.75,Equipment Failure,Bole Lemi,978,5/16/2021 4:45,,0,-0.5388260921281334,1.706858100939578
Bahir Dar,2021-01-14,2.25,Equipment Failure,Bahir Dar East,520,1/14/2021 2:14,QR,1,-1.3245831138613215,0.12163421621444413
Dire Dawa,2022-11-26,11.17,Equipment Failure,F4,571,11/26/2022 11:10,,0,1.4789979396826938,0.29815477979737387
Harer,2017-08-04,10.65,Accident,Bedesa,131,8/4/2017 10:39,,0,1.3155604791621909,-1.2247677295455495
Harer,2019-06-01,3.84,Equipment Failure,Bedesa,271,6/1/2019 3:50,,0,-0.8248416480390138,-0.7402014765728011
Addis Ababa,2019-01-14,8.26,Equipment Failure,Weregenu,802,1/14/2019 8:15,,0,0.5643767663852628,1.0976890972024087
Harer,2022-03-03,9.99,Accident,Line1,262,3/3/2022 9:59,,0,1.1081206254246292,-0.7713521642639064
Mojo,2018-06-29,7.11,Maintenance,Mojo Industrial,174,6/29/2018 7:06,,0,0.20292853638799638,-1.075936666132491
Addis Ababa,2018-02-21,6.83,Equipment Failure,Substation name,856,2/21/2018 6:49,,0,0.11492374995387923,1.28459322334904
Dire Dawa,2019-09-10,3.66,Maintenance,F6,496,9/10/2019 3:39,,0,-0.8814161536038033,0.03856571570483013
Harer,2019-07-13,2.02,Maintenance,Line1,246,7/13/2019 2:01,QR,1,-1.3968727598607749,-0.826731164603649
Dire Dawa,2018-09-03,10.87,Equipment Failure,F1,334,9/3/2018 10:52,,0,1.384707097074711,-0.5221466627350644
Hawassa,2018-07-02,10.9,Maintenance,Hawassa South,505,7/2/2018 10:54,,0,1.3941361813355098,0.06971640339593538
Mojo,2022-07-15,7.96,Maintenance,Mojo Industrial,221,7/15/2022 7:57,,0,0.47008592377728026,-0.913260852634497
Mojo,2019-08-29,4.73,Maintenance,Mojo Central,284,8/29/2019 4:43,,0,-0.5451121483019987,-0.6952060387967602
Addis Ababa,2022-03-02,4.84,Equipment Failure,Addis Center,1112,3/2/2022 4:50,,0,-0.5105388393457386,2.170657228784923
Bahir Dar,2020-04-20,8.99,Equipment Failure,Bahir Dar East,427,4/20/2020 8:59,,0,0.7938178167313539,-0.20025622326031012
Dire Dawa,2017-04-21,10.87,Maintenance,F3,569,4/21/2017 10:52,,0,1.384707097074711,0.291232404754906
Hawassa,2022-12-29,10.76,Maintenance,Hawassa South,652,12/29/2022 10:45,,0,1.350133788118451,0.5785109690173211
Addis Ababa,2022-01-05,9.58,Maintenance,Total No oflines,918,1/5/2022 9:34,,0,0.9792564738603863,1.499186849665543
Mojo,2022-10-24,8.06,Maintenance,Mojo Industrial,147,10/24/2022 8:03,,0,0.501516204646608,-1.1693887292058067
Harer,2022-07-22,1.93,Maintenance,Bedesa,166,7/22/2022 1:55,QR,1,-1.4251600126431696,-1.1036261663023623
Bahir Dar,2022-02-02,2.78,Maintenance,Bahir Dar West,641,2/2/2022 2:46,QR,1,-1.1580026252538858,0.540437906283748
Hawassa,2017-12-31,10.88,Maintenance,Hawassa Main,389,12/31/2017 10:53,,0,1.3878501251616442,-0.3317813490671989
Dire Dawa,2019-11-30,7.67,Maintenance,F2,339,11/30/2019 7:40,,0,0.3789381092562304,-0.5048407251288948
Addis Ababa,2018-04-14,1.1,Maintenance,Kality 1,1062,4/14/2018 1:06,QR,1,-1.686031343858588,1.9975978527232272
Addis Ababa,2019-05-29,2.12,Equipment Failure,Sululta,1055,5/29/2019 2:06,QR,1,-1.3654424789914472,1.9733695400745896
Bahir Dar,2017-05-09,8.3,Accident,Bahir Dar West,613,5/9/2017 8:17,,0,0.576948878732994,0.44352465568919835
Harer,2019-04-10,1.06,Equipment Failure,Harer Water,217,4/10/2019 1:03,QR,1,-1.698603456206319,-0.9271056027194325
Harer,2022-11-28,2.77,Equipment Failure,Line1,176,11/28/2022 2:46,QR,1,-1.1611456533408184,-1.069014291090023
